overigebeperkingen_regel1,overigebeperkingen_beperking_regel2
Geen beperkingen,http://creativecommons.org/publicdomain/mark/1.0/deed.nl
geen beperking,http://creativecommons.org/publicdomain/mark/1.0/deed.nl
Geen beperkingen,http://creativecommons.org/publicdomain/zero/1.0/deed.nl
geen beperking,http://creativecommons.org/publicdomain/zero/1.0/deed.nl
Geo Gedeeld Licentie,http
Geo Gedeeld,http
Naamsvermelding verplicht,http://creativecommons.org/licenses/by/
No limitations,http://creativecommons.org/publicdomain/zero/1.0/deed.nl
No limitations,http://creativecommons.org/publicdomain/mark/1.0/deed.nl
Geen beperkingen,https://creativecommons.org/publicdomain/mark/1.0/deed.nl
geen beperking,https://creativecommons.org/publicdomain/mark/1.0/deed.nl
Geen beperkingen,https://creativecommons.org/publicdomain/zero/1.0/deed.nl
geen beperking,https://creativecommons.org/publicdomain/zero/1.0/deed.nl
Naamsvermelding verplicht,https://creativecommons.org/licenses/by/
No limitations,https://creativecommons.org/publicdomain/zero/1.0/deed.nl
No limitations,https://creativecommons.org/publicdomain/mark/1.0/deed.nl
